vfdDirAdEc,vfdDiH+AdEc
Candasyapi dfSyate,Candasi+api+dfSyate
nAByastAcCatuH,na+aByastAt+SatuH
AcCInadyornum,At+SInadyoH+num
SapSyanornityam,SapSyanoH+nityam
sAvanaquhaH,sO+avanaquhaH
dfksvavassvatavasAM Candasi,dfksvavassvatavasAm+Candasi
diva Ot,divaH+Ot
paTimaTyfBukzAmAt,paTimaTyfBukzAm+At
ito't sarvanAmasTAne,itaH+at+sarvanAmasTAne
To nTaH,TaH+nTaH
Basya werlopaH,Basya+weH+lopaH
puMso'suN,puMsaH+asuN
goto Rit,gotaH+Rit
Raluttamo vA,Ral+uttamaH+vA
saKyurasambudDO,saKyuH+asambudDO
fduSanaspurudaMso'nehasAM ca,fduSanaspurudaMsa'nehasAm+ca
tfjvat krozwuH,tfjvat+krozwuH
striyAM ca,striyAm+ca
viBAzA tftIyA''dizvaci,viBAzA+tftIyAdizu+aci
caturanaquhorAmudAttaH,caturanaquhoH+Am+udAttaH
Fta idDAtoH,FtaH+it+DAtoH
upaDAyASca,upaDAyAH+ca
udozWyapUrvasya,ut+ozWyapUrvasya
bahulaM Candasi,bahulam+Candasi
ato rlAntasya,ataH+la+antasya
vadavrajahalantasyAcaH,vadavrajahalantasya+acaH
newi,na+iwi
UrRoterviBAzA,UrRoteH+viBAzA
ato halAderlaGoH,ataH+halAdeH+laGoH
neq vaSi kfti,na+iw+vaSi+kfti
ekAca upadeSe'nudAttAt,ekAcaH+upadeSe+anudAttAt
sani grahaguhoSca,sani+grahaguhoH+ca
kfsfBfvfstudrusruSruvo liwi,kfsfBfvfstudrusruSruvaH+liwi
SvIdito nizWAyAm,SvIditaH+nizWAyAm
AditaSca,AditaH+ca
GuziraviSabdane,GuziH+aviSabdane
ardeH saMniviByaH,ardeH+sanniviByaH
aBeScAvidUrye,aBeH+ca+AvidUrye
ReraDyayane vfttam,ReH+aDyayane+vfttam
hfzerlomasu,hfzeH+lomasu
apacitaSca,apacitaH+ca
hru hvareSCandasi,hru+hvareH+Candasi
aparihvftASca,aparihvftAH+ca
grasitaskaBitastaBitottaBitacattavikastaviSastFSaMstfSAstftarutftarUtfvarutfvarUtfvarutrIrujjvalitikzaritikzamitivamityamitIti ca,grasitaskaBitastaBitottaBitacattavikastAH+viSastF+SaMstf+SAstf+tarutf+tarUtf+varutf+varUtf+varutrIH+rujjvalitikzariti+kzamitivamityamiti+iti+ca
ArDaDAtukasyeq valAdeH,ArDaDAtukasya+iw+valAdeH
snukramoranAtmanepadanimitte,snukramoH+anAtmanepadanimitte
graho'liwi dIrGaH,grahaH+aliwi+dIrGaH
vFto vA,vFtaH+vA
liNsicorAtmanepadezu,liNsicoH+Atmanepadezu
ftaSca saMyogAdeH,ftaH+ca+saMyogAdeH
svaratisUtisUyatiDUYUdito vA,svaratisUtisUyatiDUYUditaH+vA
raDAdiByaSca,raDAdiByaH+ca
iRnizWAyAm,iw+nizWAyAm
tIzasahaluBaruzarizaH,ti+izasahaluBaruzarizaH
sanIvantarDaBrasjadamBuSrisvfyUrRuBarajYapisanAm,sani+ivantarDaBrasjadamBuSrisvfyUrRuBarajYapisanAm
pUNaSca,pUNaH+ca
vasatikzuDoriw,vasatikzuDoH+iw
luBo vimocane,luBaH+vimohane
udito vA,uditaH+vA
se'sici kftacftacCfdatfdanftaH,se+asici+kftacftacCfdatfdanftaH
gameriw parasmEpadezu,gameH+iw+parasmEpadezu
na vfdByaScaturByaH,na+vfdByaH+caturByaH
acastAsvat Talyaniwo nityam,acaH+tAsvat+Tali+aniwaH+nityam
upadeSe'tvataH,upadeSe+atvataH
fto BAradvAjasya,ftaH+BAradvAjasya
baBUTAtatanTajagfmBavavarTeti nigame,baBUTa+AtatanTa+jagfmBa+vavarTa+iti+nigame
iqattyartivyayatInAm,iw+attyartivyayatInAm
vasvekAjAdGasAm,vasu+ekAjAdGasAm
yamaramanamAtAM sak ca,yamaramanamAtAm+sak+ca
smipUNraYjvaSAM sani,smipUNraYjvaSAm+sani
kiraSca paYcaByaH,kiraH+ca+paYcaByaH
rudAdiByaH sArvaDAtuke,rudAdiByaH+sArvaDatuke
IqajanorDve ca,IqajanoH+Dve+ca
liNaH salopo'nantyasya,liNaH+salopaH+anantyasya
ato yeyaH,ataH+yA+iyaH
Ato NitaH,AtaH+NitaH
IdAsaH,It+AsaH
azwana A viBaktO,azwanaH+AH+viBaktO
rAyo hali,rAyaH+hali
yuzmadasmadoranAdeSe,yuzmadasmadoH+anAdeSe
dvitIyAyAM ca,dvitIyAyAm+ca
praTamAyASca dvivacane BAzAyAm,praTamAyAH+ca+dvivacane+BAzAyAm
yo'ci,yaH+aci
tvamAvekavacane,tvamO+ekavacane
pratayottarapadayoSca,pratayottarapadayoH+ca
tricaturoH striyAM tisfcatasf,tricaturoH+striyAm+tisfcatasf
aci ra ftaH,aci+raH+ftaH
jarAyA jarasanyatarasyAm,jarAyA+jaras+anyatarasyAm
tyadAdInAmaH,tyadAdInAm+aH
kvAti,kva+ati
tadoH saH sAvanantyayoH,tadoH+saH+sO+anantyayoH
adasa O sulopaSca,adasaH+O+sulopaH+ca
idamo maH,idamaH+maH
daSca,daH+ca
ido'y puMsi,idaH+ay+puMsi
anApyakaH,ana+Api+akaH
mfjervfdDiH,mfjeH+vfdDiH
aco YRiti,acaH+YRiti
ata upaDAyAH,ataH+upaDAyAH
tadDitezvacAmAdeH,tadDitezu+acAm+AdeH
devikASiMSapAdityavAqdIrGasatraSreyasAmAt,devikASiMSapAdityavAqdIrGasatraSreyasAm+At
kekayamittrayupralayAnAM yAderiyaH,kekayamittrayupralayAnAm+yAdeH+iyaH
na yvAByAM padAntAByAm pUrvO tu tAByAmEc,na+yvAByAm+padAntAByAm+pUrvO+tu+tAByAm+Ec
dvArAdInAM ca,dvArAdInAm+ca
svAgatAdInAM ca,svAgatAdInAm+ca
SvAderiYi,SvAdeH+iYi
padAntasyAnyatarasyAm,padAntasya+anyatarasyAm
avayavAdftoH,avayavAt+ftoH
susarvArDAjjanapadasya,susarvArDAt+janapadasya
diSo'madrARAm,diSaH+amadrARAm
prAcAM grAmanagarARAm,prAcAm+grAmanagarARAm
varzasyABavizyati,varzasya+aBavizyati
parimARAntasyAsaMjYASARayoH,parimARAntasya+asaMjYASARayoH
anuSatikAdInAM ca,anuSatikAdInAm+ca
devatAdvaMdve ca,devatAdvandve+ca
nendrasya parasya,na+indrasya+parasya
dIrGAcca varuRasya,dIrGAt+ca+varuRasya
prAcAM nagarAnte,prAcAm+nagarAnte
jaNgalaDenuvalajAntasya viBAzitamuttaram,jaNgalaDenuvalajAntasya+viBAzitam+uttaram
arDAt parimARasya pUrvasya tu vA,arDAt+parimARasya+pUrvasya+tu+vA
nAtaH parasya,na+ataH+parasya
hanasto'ciRRaloH,hanaH+taH+aciRRaloH
Ato yuk ciRkftoH,AtaH+yuk+ciRkftoH
nodAttopadeSasya mAntasyAnAcameH,na+udAttopadeSasya+mAntasya+anAcameH
janivaDyoSca,janivaDyoH+ca
arttihrIblIrIknUyIkzmAyyAtAM puNRO,arttihrIvlIrIknUyIkzmAyyAtAm+puk+RO
SAcCAsAhvAvyAvepAM yuk,SAcCAsAhvAvyAvepAm+yuk
vo viDUnane juk,vaH+viDUnane+juk
lIlornuglukAvanyatarasyAM snehavipAtane,lIloH+nuglukO+anyatarasyAm+snehavipAtane
Biyo hetuBaye zuk,BiyaH+hetuBaye+zuk
sPAyo vaH,sPAyaH+vaH
SaderagatO taH,SadeH+agatO+taH
ruhaH po'nyatarasyAm,ruhaH+paH+anyatarasyAm
pratyayasTAt kAt pUrvasyAta idApyasupaH,pratyayasTAt+kAt+pUrvasya+ataH+it+Api+asupaH
udIcAmAtaH sTAne yakapUrvAyAH,udIcAm+AtaH+sTAne+yakapUrvAyAH
BastrEzA'jAjYAdvAsvAnaYpUrvARAmapi,BastrEzA'jAjYAdvAsvAH+naYpUrvARAm+api
aBAzitapuMskAcca,aBAzitapuMskA+ca
AdAcAryARAm,At+AcAryARAm
WasyekaH,Wasya+ikaH
isusuktAntAt kaH,isusuktAntAt+kaH
nyaNkvAdInAM ca,nyaNkvAdInAm+ca
ho hanterYRinnezu,haH+hanteH+YRinnezu
aByAsAcca,aByAsAt+ca
heracaNi,heH+acaNi
sanliworjeH,sanliwoH+jeH
ajivfjyoSca,ajivfjyoH+ca
vaYcergatO,vaYceH+gatO
oka ucaH ke,okaH+ucaH+ke
Rya AvaSyake,Rye+AvaSyake
yajayAcarucapravacarcaSca,yajayAcarucapravacarcaH+ca
vaco'SabdasaMjYAyAm,vacaH+aSabdasaMjYAyAm
BojyaM Bakzye,Bojyam+Bakzye
Gorlopo lewi vA,GoH+lopaH+lewi+vA
ksasyAci,ksasya+aci
lugvA duhadihalihaguhAmAtmanepade dantye,luk+vA+duhadihalihaguhAm+Atmanepade+dantye
SamAmazwAnAM dIrGaH Syani,SamAm+azwAnAm+dIrGaH+Syani
zWivuklamyAcamAM Siti,zWivuklamucamAm+Siti
izugamiyamAM CaH,izugamiyamAm+CaH
pAGrADmAsTAmnAdARdfSyarttisarttiSadasadAM pibajiGraDamatizWamanayacCapaSyarcCaDOSIyasIdAH,pAGrADmAsTAmnAdARdfSyarttisarttiSadasadAm+pibajiGraDamatizWamanayacCapaSyarcCaDOSIyasIdAH
jYAjanorjA,jYAjanoH+jA
pvAdInAM hrasvaH,pvAdInAm+hrasvaH
mInAternigame,mInAteH+nigame
miderguRaH,mideH+guRaH
jAgro'viciRRalNitsu,jAgraH+aviciRRalNitsu
nAByastasyAci piti sArvaDAtuke,na+aByastasya+aci+piti+sArvaDAtuke
BUsuvostiNi,BUsuvoH+tiNi
uto vfdDirluki hali,utaH+vfdDiH+luki+hali
UrRoterviBAzA,UrRoteH+viBAzA
guRo'pfkte,guRaH+apfkte
tfRaha im,tfRahaH+im
bruva Iw,bruvaH+Iw
yaNo vA,yaNaH+vA
astisico'pfkte,astisicaH+apfkte
bahulaM Candasi,bahulam+Candasi
rudaSca paYcaByaH,rudaH+ca+paYcaByaH
aqgArgyagAlavayoH,aw+gArgyagAlavayoH
ato dIrGo yaYi,ataH+dIrGaH+yaYi
bahuvacane Jalyet,bahuvacane+Jali+et
ANi cApaH,ANi+ca+ApaH
ambA'rTanadyorhrasvaH,ambA'rTanadyoH+hrasvaH
fto NisarvanAmasTAnayoH,ftaH+NisarvanAmasTAnayoH
GerNiti,GeH+Niti
ARnadyAH,Aw+nadyAH
yAqApaH,yAw+ApaH
sarvanAmnaH syAqQrasvaSca,sarvanAmnaH+syAw+hrasvaH+ca
NerAmnadyAmnIByaH,NeH+Am+nadyAmnIByaH
acca GeH,at+ca+GeH
ANo nA'striyAm,ANaH+nA+astriyAm
RO caNyupaDAyA hrasvaH,RO+caNi+upaDAyAH+hrasvaH
nAglopiSAsvfditAm,na+aglopiSAsvfditAm
BrAjaBAsaBAzadIpajIvamIlapIqAmanyatarasyAm,BrAjaBAsaBAzadIpajIvamIlapIqAm+anyatarasyAm
lopaH pibaterIccAByAsasya,lopaH+pibateH+It+ca+aByAsasya
tizWaterit,tizWateH+it
jiGratervA,jiGrateH+vA
urft,uH+ft
nityaM Candasi,nityam+Candasi
dayaterdigi liwi,dayateH+digi+liwi
ftaSca saMyogAderguRaH,ftaH+ca+saMyogAdeH+guRaH
SfdFprAM hrasvo vA,SFdFprAm+hrasvaH+vA
ke'RaH,ke+aRaH
Apo'nyatarasyAm,ApaH+anyatarasyAm
fdfSo'Ni guRaH,fdfSaH+aNi+guRaH
asyatesTuk,asyateH+Tuk
SvayateraH,SvayateH+aH
vaca um,vacaH+um
upasargAdDrasva UhateH,upasargAt+hrasvaH+UhateH
eterliNi,eteH+liNi
akftsArvaDAtukayordIrGaH,akftsArvaDAtukayoH+dIrGaH
riN SayagliNkzu,riN+SayagliNkzu
guRo'rtisaMyogAdyoH,guRaH+artisaMyogAdyoH
na cCandasyaputrasya,na+Candasi+aputrasya
durasyurdraviRasyurvfzaRyatirizaRyati,durasyuH+draviRasyuH+vfzaRyati+rizaRyati
aSvAGasyAt,aSvAGasya+At
devasumnayoryajuzi kAWake,devasumnayoH+yajuzi+kAWake
kavyaDvarapftanasyarci lopaH,kavyaDvarapftanasya+fci+lopaH
dyatisyatimAsTAmitti kiti,dyatisyatimAsTAm+it+ti+kiti
SACoranyatarasyAm,SAcCoH+anyatarasyAm
daDAterhiH,daDAteH+hiH
jahAteSca ktvi,jahAteH+ca+ktvi
do dad GoH,daH+dad+GoH
aca upasargAttaH,acaH+upasargAt+taH
apo Bi,apaH+Bi
saH syArdDaDAtuke,saH+si+ArdDaDAtuke
tAsastyorlopaH,tAsastyoH+lopaH
ha eti,haH+eti
yIvarRayordIDIvevyoH,yIvarRayoH+dIDIvevyoH
ApjYapyfDAmIt,ApjYapyfDAm+It
damBa icca,damBaH+it+ca
muco'karmakasya guRo vA,mucaH+akarmakasya+guRaH+vA
atra lopo'ByAsasya,atra+lopaH+aByAsasya
kuhoScuH,kuhoH+cuH
na kavateryaNi,na+kavateH+yaNi
kfzeSCandasi,kfzeH+Candasi
dADartidarDartidarDarziboBUtutetikte'larzyApanIPaRatsaMsanizyadatkarikratkanikradadBariBraddaviDvatodavidyutattaritrataHsarIsfpataMvarIvfjanmarmfjyAganIgantIti ca,dADarti+darDarti+darDarzi+boBUtu+tetikte+alarzi+ApanIPaRat+saMsanizyadat+karikrat+kanikradat+BariBrat+daviDvataH+davidyutat+taritrataH+sarIsfpatam+varIvfjat+marmfjya+AganIganti+iti+ca
urat,uH+at
vyaTo liwi,vyaTaH+liwi
dIrGa iRaH kiti,dIrGaH+iRaH+kiti
ata AdeH,ataH+AdeH
tasmAnnuq dvihalaH,tasmAt+nuw+dvihalaH
aSnoteSca,aSnoteH+ca
BavateraH,BavateH+aH
sasUveti nigame,sasUva+iti+nigame
nijAM trayARAM guRaH SlO,nijAm+trayARAm+guRaH+SlO
BfYAmit,BfYAm+it
artipipartyoSca,artipipartyoH+ca
bahulaM Candasi,bahulam+Candasi
sanyataH,sani+ataH
oH puyaRjyapare,oH+puyaRji+apare
sravatiSfRotidravatipravatiplavaticyavatInAM vA,sravatiSfRotidravatipravatiplavaticyavatInAm+vA
guRo yaNlukoH,guRaH+yaNlukoH
dIrGo'kitaH,dIrGaH+akitaH
nIgvaYcusraMsuDvaMsuBraMsukasapatapadaskandAm,nIk+vaYcusraMsuDvaMsuBraMsukasapatapadaskandAm
nugato'nunAsikAntasya,nuk+ataH+anunAsikAntasya
japajaBadahadaSaBaYjapaSAM ca,japajaBadahadaSaBaYjapaSAm+ca
caraPaloSca,caraPaloH+ca
ut parasyAtaH,ut+parasya+ataH
rIgfdupaDasya ca,rIk+fdupaDasya+ca
ftaSca,ftaH+ca
sanvallaGuni caNpare'naglope,sanvat+laGuni+caNpare+anaglope
dIrGo laGoH,dIrGaH+laGoH
at smfdftvarapraTamradastFspaSAm,at+smfdftvarapraTamradastFspaSAm
tasya paramAmreqitam,tasya+param+Amreqitam
anudAttaM ca,anudAttam+ca
parervarjane,pareH+varjane
vAkyAderAmantritasyAsUyAsammatikopakutsanaBartsanezu,vAkyAdeH+Amantritasya+asUyAsammatikopakutsanaBartsanezu
ekaM bahuvrIhivat,ekam+bahuvrIhivat
karmaDArayavat uttarezu,karmaDArayavat+uttarezu
akfcCre priyasuKayoranyatarasyAm,akfcCre+priyasuKayoH+anyatarasyAm
dvandvaM rahasyamaryAdAvacanavyutkramaRayajYapAtraprayogABivyaktizu,dvandvam+rahasyamaryAdAvacanavyutkramaRayajYapAtraprayogABivyaktizu
anudAttaM sarvamapAdAdO,anudAttam+sarvam+apAdAdO
yuzmadasmadoH zazWIcaturTIdvitIyAsTayorvAnnAvO,yuzmadasmadoH+zazWIcaturTIdvitIyAsTayoH+vAnnAvO
bahuvacane vasnasO,bahuvacanasya+vasnasO
temayAvekavacanasya,temayO+ekavacanasya
paSyArTEScAnAlocane,paSyArTEH+ca+anAlocane
sapUrvAyAH praTamAyA viBAzA,sapUrvAyAH+praTamAyAH+viBAzA
tiNo gotrAdIni kutsanABIkzRyayoH,tiNaH+gotrAdIni+kutsanABIkzRyayoH
tiNNatiNaH,tiN+atiNaH
nipAtEryadyadihantakuvinnecceccaRkaccidyatrayuktam,nipAtEH+yadyadihantakuvinnecceccaRkaccidyatrayuktam
satyaM praSne,satyam+praSne
aNgAprAtilomye,aNga+aprAtilomye
Candasyanekamapi sAkANkzam,Candasi+anekam+api+sAkANkzam
pUjAyAM nAnantaram,pUjAyAm+na+anantaram
upasargavyapetaM ca,upasargavyapetam+ca
nanvityanujYEzaRAyAm,nanu+iti+anujYEzaRAyAm
kiM kriyApraSne'nupasargamapratizidDam,kim+kriyApraSne+anupasargam+apratizidDam
jAtvapUrvam,jAtu+apUrvam
kimvfttaM ca ciduttaram,kimvfttam+ca+ciduttaram
Aho utAho cAnantaram,Aho+utAho+ca+anantaram
gatyarTalowA lfRna cet kArakaM sarvAnyat,gatyarTalowA+lfw+na+cet+kArakam+sarvAnyat
viBAzitaM sopasargamanuttamam,viBAzitam+sopasargam+anuttamam
Ama ekAntaramAmantritamanantike,Ama+ekAntaram+Amantritam+anantike
yadDituparaM Candasi,yadDituparam+Candasi
canacidivagotrAditadDitAmreqitezvagateH,canacidivagotrAditadDitAmreqitezu+AgateH
heti kziyAyAm,ha+iti+kziyAyAm
aheti viniyoge ca,aha+iti+viniyoge+ca
cAhalopa evetyavaDAraRam,cAhalopa+eva+iti+avaDAraRam
vEvAveti ca cCandasi,vEvAva+iti+ca+Candasi
ekAnyAByAM samarTAByAm,ekAnyAByAm+samarTAByAm
yadvfttAnnityaM,yadvftAt+nityam
pUjanAt pUjitamanudAttam (kAzWAdiByaH),pUjanAt+pUjitam+anudAttam+(kAzWAdiByaH)
sagatirapi tiN,sagatiH+api+tiN
kutsane ca supyagotrAdO,kutsane+ca+supi+agotrAdO
gatirgatO,gatiH+gatO
tiNi codAttavati,tiNi+ca+udAttavati
AmantritaM pUrvam avidyamAnavat,Amantritam+pUrvam+avidyamAnavat
nAmantrite samAnADikaraRe (sAmAnyavacanam),na+Amantrite+samAnADikaraRe+(sAmAnyavacanam)
viBAzitaM viSezavacane bahuvacanam,viBAzitam+sopasargam+anuttamam
pUrvatrAsidDam,pUrvatra+asidDam
udAttasvaritayoryaRaH svarito'nudAttasya,udAttasvaritayoH+yaRaH+svaritaH+anudAttasya
ekAdeSa udAttenodAttaH,ekAdeSaH+udAttena+udAttaH
svarito vA'nudAtte padAdO,svaritaH+vA+anudAtte+padAdO
nalopaH prAtipadikAntasya,na+lopaH+prAtipadika+antasya
mAdupaDAyASca matorvo'yavAdiByaH,mAt+upaDAyAH+ca+matoH+vaH+ayavAdiByaH
AsandIvadazWIvaccakrIvatkakzIvadrumaRvaccarmaRvatI,AsandIvat+azWIvat+cakrIvat++kakzIvat++rumaRvat+carmaRvatI
udanvAnudaDO ca,udanvAn+udaDO+ca
CandasIraH,Candasi+iraH
ano nuw,anaH+nuw
nAdGasya,nAt+Gasya
kfpo ro laH,kfpaH+raH+laH
upasargasyAyatO,upasargasya+ayatO
gro yaNi,graH+yaNi
pareSca GANkayoH,pareH+ca+GANkayoH
rAt sasya,rAt+sasya
Jalo Jali,JalaH+Jali
hrasvAdaNgAt,hrasvAt+aNgAt
iwa Iwi,iwaH+Iwi
skoH saMyogAdyorante ca,skoH+saMyogAdyoH+ante+ca
ho QaH,haH+QaH
dAderDAtorGaH,dAdeH+DAtoH+GaH
naho DaH,nahaH+DaH
AhasTaH,AhaH+TaH
vraScaBrasjasfjamfjayajarAjaBrAjacCaSAM zaH,vraScaBrasjasfjamfjayajarAjaBrAjacCaSAm+zaH
ekAco baSo Baz Jazantasya sDvoH,ekAcaH+baSaH+Baz+Jazantasya+sDvoH
daDastaToSca,daDaH+taToH+ca
JalAM jaSo'nte,JalAm+jaSaH+ante
JazastaTorDo'DaH,JazaH+taToH+DaH+aDaH
radAByAM nizWAto naH pUrvasya ca daH,radAByAm+nizWAntaH+naH+pUrvasya+ca+daH
saMyogAderAto DAtoryaRvataH,saMyogAdeH+AtaH+DAtoH+yaRvataH
oditaSca,oditaH+ca
kziyo dIrGAt,kziyaH+dIrGAt
Syo'sparSe,SyaH+asparSe
aYco'napAdAne,aYcaH+anapAdAne
divo'vijigIzAyAm,divaH+avijigIzAyAm
nirvARo'vAte,nirvARaH+avAte
paco vaH,pacaH+vaH
kzAyo maH,kzAyaH+maH
prastyo'nyatarasyAm,prastyaH+anyatarasyAm
anupasargAt PullakzIbakfSollAGAH,anupasargAt+PullakzIbakfSollAGAH
nudavidondatrAGrAhrIByo'nyatarasyAm,nudavidondatrAGrAhrIByaH+anyatarasyAm
vitto BogapratyayayoH,vittaH+BogapratyayayoH
BittaM Sakalam,Bittam+Sakalam
fRamADamarRye,fRam+ADamarRye
naServA,naSeH+vA
mo no DAtoH,maH+naH+DAtoH
mvoSca,mvoH+ca
sasajuzo ruH,sasajuzoH+ruH
avayAHSvetavAHpuroqASca,avayAH+SvetavAH+puroqAH+ca
ro'supi,raH+asupi
BuvaSca mahAvyAhfteH,BuvaH+ca+mahAvyAhfteH
vasusraMsuDvaMsvanaquhAM daH,vasusraMsuDvaMsvanaquhAm+daH
tipyanasteH,tipi+anasteH
sipi DAto rurvA,sipi+DAtoH+ruH+vA
daSca,daH+ca
rvorupaDAyA dIrGa ikaH,rvoH+upaDAyA+dIrGa+ikaH
upaDAyAM ca,upaDAyAm+ca
adaso'serdAdu do maH,adasaH+aseH+dAt+u+daH+maH
eta Idbahuvacane,etaH+It+bahuvacane
vAkyasya weH pluta udAttaH,vAkyasya+weH+plutaH+udAttaH
dUrAdDUte ca,dUrAt+hUte+ca
guroranfto'nantyasyApyekEkasya prAcAm,guroH+anftaH+anantyasya+api+ekEkasya+prAcAm
omaByAdAne,om+aByAdAne
praRavazweH,praRavaH+weH
brUhipresyaSrOzaqvOzaqAvahAnAmAdeH,brUhipresyaSrOzaqvOzaqAvahAnAm+AdeH
nigfhyAnuyoge ca,nigfhya+anuyoge+ca
AmreqitaM Bartsane,Amreqitam+Bartsane
aNgayuktaM tiN AkANkzam,aNgayuktam+tiN+AkANkzam
pUrvaM tu BAzAyAm,pUrvam+tu+BAzAyAm
anudAttaM praSnAntABipUjitayoH,anudAttam+praSnAntABipUjitayoH
ciditi copamA'rTe prayujyamAne,cit+ti+ca+upamA'rTe+prayujyamAne
uparisvidAsIditi ca,upari+svit+AsIt+iti+ca
svaritamAmreqite'sUyAsammatikopakutsanezu,svaritam+Amreqite+asUyAsammatikopakutsanezu
anantyasyApi praSnAKyAnayoH,anantyasya+api+praSnAKyAnayoH
plutAvEca idutO,plutO+EcaH+idutO
eco'pragfhyasyAdUrAdDUte pUrvasyArDasyAduttarasyedutO,ecaH+apragfhyasya+adUrAt+hUte+pUrvasya+arDasya+uttarasya+idutO
tayoryvAvaci saMhitAyAm,tayoH+yvO+aci+saMhitAyAm
matuvaso ru sambudDO Candasi,matuvasoH+ru+sambudDO+Candasi
atrAnunAsikaH pUrvasya tu vA,atra+anunAsikaH+pUrvasya+tu+vA
Ato'wi nityam,AtaH+awi+nityam
anunAsikAt paro'nusvAraH,anunAsikAt+paraH+anusvAraH
pumaH Kayyampare,pumaH+Kayi+ampare
naSCavyapraSAn,naH+Cavi+apraSAn
uBayaTarkzu,uBayaTA+fkzu
dIrGAdawi samAnapade,dIrGAt+awi+samAnapAde
kAnAmreqite,kAn+Amreqite
Qo Qe lopaH,QaH+Qe+lopaH
ro ri,raH+ri
KaravasAnayorvisarjanIyaH,KaravasAnayoH+visarjanIyaH
vyorlaGuprayatnataraH SAkawAyanasya,vyoH+laGuprayatnataraH+SAkawAyanasya
oto gArgyasya,otaH+gArgyasya
mo'nusvAraH,maH+anusvAraH
naScApadAntasya Jali,naH+ca+apadAntasya+Jali
mo rAji samaH kvO,maH+rAji+samaH+kvO
NRoH kukwuk Sari,NRoH+kukwuk+Sari
naSca,naH+ca
Namo hrasvAdaci NamuRnityam,NamaH+hrasvAt+aci+Namuw+nityam
maya uYo vo vA,mayaH+uYo+vaH+vA
so'padAdO,saH+apadAdO
namaspurasorgatyoH,namaspurasoH+gatyoH
idudupaDasya cApratyayasya,idudupaDasya+ca+apratyayasya
tiraso'nyatarasyAm,tirasaH+anyatarasyAm
dvistriScaturiti kftvo'rTe,dvistriScatuH+iti+kftvo'rTe
nityaM samAse'nuttarapadasTasya,nityam+samAse+anuttarapadasTasya
ataH kfkamikaMsakumBapAtrakuSAkarRIzvanavyayasya,ataH+kfkamikaMsakumBapAtrakuSAkarRIzu+anavyayasya
kaHkaratkaratikfDikftezvanaditeH,kaHkaratkaratikfDikftezu+anaditeH
paYcamyAH parAvaDyarTe,paYcamyAH+parO+aDyarTe
iqAyA vA,iqAyAH+vA
numvisarjanIyaSarvyavAye'pi,numvisarjanIyaSarvyavAye+api
SAsivasiGasInAM ca,SAsivasiGasInAm+ca
stOtiRyoreva zaRyaByAsAt,stOtiRyoH+eva+zaRi+aByAsAt
saH svidisvadisahInAM ca,saH+svidisvadisahInAm+ca
prAksitAdaqvyavAye'pi,prAk+sitAt+aqvyavAye+api
sTA''dizvaByAsena cAByAsaya,sTA''dizu+aByAsena+ca+aByAsasya
upasargAt sunotisuvatisyatistOtistoBatisTAsenayaseDasicasaYjasvaYjAm,upasargAt+sunotisuvatisyatistOtistoBatisTAsenayaseDasicasaYjasvaYjAm
sadiraprateH,sadiH+atra+aprateH
avAccAlambanAvidUryayoH,avAt+ca+AlambanAvidUryayoH
veSca svano Bojane,veH+ca+svanaH+Bojane
pariniviByaH sevasitasayasivusahasuwstusvaYjAm,pariniviByaH+sevasitasayasivusahasuwstusvaYjAm
sivAdInAM vA'qvyavAye'pi,sivAdInAm+vA+aqvyavAye+api
anuviparyaBiniByaH syandateraprARizu,anuviparyaBiniByaH+syandateH+aprARizu
veH skanderanizWAyAm,veH+skandeH+anizWAyAm
pareSca,pareH+ca
sPuratisPulatyornirniviByaH,sPuratisPulatyoH+nirniviByaH
veH skaBnAternityam,veH+skaBnAteH+nityam
iRaH zIDvaMluNliwAM Do'NgAt,iRaH+zIDvaMluNliwAm+DaH+aNgAt
viBAzewaH,viBAzA+iwaH
samAse'NguleH saNgaH,samAse+aNguleH+saNgaH
mAtfpitfByAM svasA,mAtfpitfByAm+svasA
mAtuHpiturByAmanyatarasyAm,mAtuHpiturByAm+anyatarasyAm
upasargaprAdurByAmastiryacparaH,upasargaprAdurByAm+astiH+yacparaH
ninadIByAM snAteH kOSale,ninadIByAm+snAteH+kOSale
sUtraM pratizRAtam,sUtram+pratizRAtam
kapizWalo gotre,kapizWalaH+gotre
prazWo'gragAmini,prazWaH+agragAmini
vfkzAsanayorvizwaraH,vfkzAsanayoH+vizwaraH
gaviyuDiByAM sTiraH,gaviyuDiByAm+sTiraH
ambAmbagoBUmisavyApadvitrikuSekuSaNkvaNgumaYjipuYjiparamebarhirdivyagniByaH sTaH,ambAmbagoBUmisavyApadvitrikuSekuSaNkvaNgumaYjipuYjiparamebarhirdivyagniByaH+sTaH
Eti saMjYAyAmagAt,eti+saMjYAyAm+agAt
nakzatrAdvA,nakzatrAt+vA
hrasvAt tAdO tadDite,hrasvAt+tAdO+tadDite
nisastapatAvanAsevane,nisaH+tapatO+anAsevane
yuzmattattatakzuHzvantaHpAdam,yuzmattattatakzuHzu+antaHpAdam
yajuzyekezAm,yajuzi+ekezAm
stutastomayoSCandasi,stutastomayoH+Candasi
sanoteranaH,sanoteH+anaH
saheH pftanartAByAM ca,saheH+pftanartAByAm+ca
sico yaNi,sicaH+yaNi
seDatergatO,seDateH+gatO
stamBusivusahAM caNi,stamBusivusahAm+caNi
